SampleID	Location	Soil	PD_whole_tree	chao1	observed_otus
24	Field	Asientos	17.46031	710.137931	499
26	Field	Asientos	17.51098	723.122449	470
27	Field	Asientos	18.47196	723.2941176	477
33	Field	Ejido	18.27158	681.1612903	476
34	Field	Ejido	17.07835	603.7540984	423
37.1	Greenhouse	Divisa	18.88998	995.81	692
39.1	Greenhouse	Divisa	25.20866	1422.979167	1046
41	Field	Divisa	22.21548	953.5	686
41.1	Greenhouse	Divisa	17.52161	840	595
43	Field	Divisa	24.34938	872.0606061	702
43.1	Greenhouse	Divisa	19.68242	919.2	680
46	Field	Divisa	26.20491	1118.5	772
47.1	Greenhouse	Divisa	17.22799	1156.009091	816
48	Field	Divisa	21.59599	903.7590361	624
49.1	Greenhouse	Ejido	12.99573	670.6935484	439
51.1	Greenhouse	Ejido	16.13335	850.2282609	653
52.1	Greenhouse	Ejido	30.64608	1390.063584	1115
55.1	Greenhouse	Ejido	20.69666	1113.470085	819
57.1	Greenhouse	Ejido	13.5999	882.1388889	655
59.1	Greenhouse	Ejido	32.97404	1521.006369	1210
61.1	Greenhouse	Asientos	38.87391	1986.028986	1565
63.1	Greenhouse	Asientos	34.97756	1448.248555	1189
65.1	Greenhouse	Asientos	30.89312	1515.120805	1153
67.1	Greenhouse	Asientos	18.40933	943.6842105	690
69.1	Greenhouse	Asientos	27.61821	1523.131579	1209
71.1	Greenhouse	Asientos	26.44959	1453.657343	1090
75	Field	Ejido	15.89842	552.3220339	408
79	Field	Ejido	18.25773	903.1311475	526
81	Field	Ejido	13.3326	528	407
82	Field	Ejido	15.15944	478.0178571	363
85	Field	Ejido	15.67198	577.6603774	407
10LD	Field	Divisa	17.02007	652.04	526
13LD	Field	Divisa	16.23116	596.0535714	444
18LD	Field	Divisa	26.67242	861.5913978	696
1LD	Field	Asientos	15.48212	552.0153846	419
22LD	Field	Asientos	20.84713	917.1590909	663
23LD	Field	Asientos	16.03228	507.5625	371
6LD	Field	Asientos	21.05839	889.4390244	654
7LD	Field	Asientos	21.12131	907.75	619
8LD	Field	Divisa	17.1769	696.6630435	546
