SampleID	Location	Soil	PD_whole_tree	chao1	observed_otus
38.1	Greenhouse	Divisa	37.04931	1737.310881	1395
40.1	Greenhouse	Divisa	36.35703	1671.352941	1341
42.1	Greenhouse	Divisa	35.40616	1554.166667	1233
45.1	Greenhouse	Divisa	19.94811	1109.878261	808
50.1	Greenhouse	Ejido	38.89442	1765.905213	1430
53	Field	Divisa	62.0407	2447.633333	1808
53.1	Greenhouse	Ejido	19.52652	1158.011236	753
54.1	Greenhouse	Ejido	36.2511	1797.855	1434
55	Field	Divisa	52.25532	2105.44843	1448
56.1	Greenhouse	Ejido	40.64091	1898.6	1551
58	Field	Divisa	66.17102	2548.974026	1883
60	Field	Divisa	66.80609	2803.221885	1908
60.1	Greenhouse	Ejido	39.16531	1803.055276	1445
61	Field	Divisa	89.72378	3316	2504
62.1	Greenhouse	Asientos	23.12008	1109.368852	846
63	Field	Divisa	97.19825	4129.193548	3055
64.1	Greenhouse	Asientos	33.999	1531.972376	1257
66.1	Greenhouse	Asientos	51.43326	2275.351779	1836
68	Field	Asientos	75.51061	2976.334262	2227
68.1	Greenhouse	Asientos	42.51715	1955.34874	1566
69	Field	Asientos	75.4124	3069.371681	2329
70	Field	Asientos	39.73167	1704.40678	1176
70.1	Greenhouse	Asientos	44.37723	2097.897163	1746
72	Field	Asientos	73.63312	2814.140187	2191
73	Field	Asientos	48.56801	1835.733906	1332
86	Field	Ejido	63.15703	2678.156442	1949
90	Field	Ejido	45.04643	1953.927602	1362
92	Field	Ejido	47.60331	2074.917431	1427
93	Field	Ejido	37.93733	1675.876847	1176
96	Field	Ejido	36.65089	1552.734043	1046
97	Field	Asientos	59.05007	2615.762887	1841
102	Field	Asientos	31.96104	1400.341772	1016
103	Field	Asientos	43.45144	1770.374486	1311
105	Field	Ejido	42.68142	1733.862069	1271
106	Field	Ejido	34.12001	1439.194245	932
108	Field	Ejido	44.99669	1846.333333	1346
109	Field	Ejido	41.51913	1755.017544	1203
110	Field	Ejido	37.29084	1549.228723	1129
114	Field	Ejido	38.82986	1771.640244	1111
116	Field	Divisa	70.57784	1883.504967	1864
118	Field	Divisa	50.19539	1928.08642	1429
119	Field	Divisa	55.46502	1890.439331	1383
121	Field	Divisa	61.8881	2268.277027	1730
126	Field	Divisa	60.53008	2165.603448	1645
