SampleID	Site	Treatment	PD_whole_tree	chao1	observed_otus
S10.799	Divisa	High	128.53915	4594.149635	3568
S12.799	Divisa	High	134.56105	4948.87415	3904
S4.799	Asientos	High	116.15076	4139.226592	3279
S11.799	Divisa	Low	127.78332	4300.596803	3530
S3.799	Asientos	Low	116.75536	4330.1	3376
S5.799	Ejido	Low	117.67527	4499.011696	3466
S2.799	Asientos	High	106.62211	3829.408537	3054
S6.799	Ejido	High	91.13923	3365.647887	2560
S9.799	Divisa	Low	113.48741	3977.045356	3064
S1.799	Asientos	Low	94.77993	3715.944304	2796
S7.799	Ejido	Low	100.61104	3789.321277	3036
S8.799	Ejido	High	98.44359	3588.376368	2841
