SampleID	Site	Description	PD_whole_tree	chao1	observed_otus
24	Asientos	Leaf	17.46031	710.137931	499
25	Asientos	Leaf	18.01341	661.125	498
26	Asientos	Leaf	17.51098	723.122449	470
27	Asientos	Leaf	18.47196	723.2941176	477
28	Asientos	Leaf	21.13832	913.7	642
32	Ejido	Leaf	19.75962	737.1666667	526
33	Ejido	Leaf	18.27158	681.1612903	476
34	Ejido	Leaf	17.07835	603.7540984	423
36	Ejido	Leaf	16.14462	639.5192308	410
37	Ejido	Leaf	14.35121	632.1960784	416
37.1	Divisa	Leaf	18.88998	995.81	692
38	Ejido	Leaf	12.77121	407.0222222	320
38.1	Divisa	Root	37.04931	1737.310881	1395
39.1	Divisa	Leaf	25.20866	1422.979167	1046
40	Ejido	Leaf	20.84521	742.1097561	550
40.1	Divisa	Root	36.35703	1671.352941	1341
41	Divisa	Leaf	22.21548	953.5	686
41.1	Divisa	Leaf	17.52161	840	595
42	Divisa	Leaf	24.63466	1015.390909	759
42.1	Divisa	Root	35.40616	1554.166667	1233
43	Divisa	Leaf	24.34938	872.0606061	702
43.1	Divisa	Leaf	19.68242	919.2	680
44	Divisa	Leaf	24.02739	1055.540541	795
45	Divisa	Leaf	23.19362	1095.729167	745
45.1	Divisa	Root	19.94811	1109.878261	808
46	Divisa	Leaf	26.20491	1118.5	772
47	Divisa	Leaf	22.30516	923.7640449	658
47.1	Divisa	Leaf	17.22799	1156.009091	816
48	Divisa	Leaf	21.59599	903.7590361	624
49.1	Ejido	Leaf	12.99573	670.6935484	439
50.1	Ejido	Root	38.89442	1765.905213	1430
51.1	Ejido	Leaf	16.13335	850.2282609	653
52.1	Ejido	Leaf	30.64608	1390.063584	1115
53	Divisa	Root	62.0407	2447.633333	1808
53.1	Ejido	Root	19.52652	1158.011236	753
54	Divisa	Root	105.37066	4057.031712	3122
54.1	Ejido	Root	36.2511	1797.855	1434
55	Divisa	Root	52.25532	2105.44843	1448
55.1	Ejido	Leaf	20.69666	1113.470085	819
56	Divisa	Root	100.20001	3795.805882	2880
56.1	Ejido	Root	40.64091	1898.6	1551
57	Divisa	Root	90.48305	3244.203125	2501
57.1	Ejido	Leaf	13.5999	882.1388889	655
58	Divisa	Root	66.17102	2548.974026	1883
59	Divisa	Root	54.97007	2183.22449	1435
59.1	Ejido	Leaf	32.97404	1521.006369	1210
60	Divisa	Root	66.80609	2803.221885	1908
60.1	Ejido	Root	39.16531	1803.055276	1445
61	Divisa	Root	89.72378	3316	2504
61.1	Asientos	Leaf	38.87391	1986.028986	1565
62	Divisa	Root	70.61886	2839.112069	2032
62.1	Asientos	Root	23.12008	1109.368852	846
63	Divisa	Root	97.19825	4129.193548	3055
63.1	Asientos	Leaf	34.97756	1448.248555	1189
64	Divisa	Root	59.34566	2386.050847	1785
64.1	Asientos	Root	33.999	1531.972376	1257
65	Asientos	Root	60.01489	2206.777778	1584
65.1	Asientos	Leaf	30.89312	1515.120805	1153
66	Asientos	Root	58.9265	2015.194915	1450
66.1	Asientos	Root	51.43326	2275.351779	1836
67	Asientos	Root	67.22814	2531.748201	1766
67.1	Asientos	Leaf	18.40933	943.6842105	690
68	Asientos	Root	75.51061	2976.334262	2227
68.1	Asientos	Root	42.51715	1955.34874	1566
69	Asientos	Root	75.4124	3069.371681	2329
69.1	Asientos	Leaf	27.61821	1523.131579	1209
70	Asientos	Root	39.73167	1704.40678	1176
70.1	Asientos	Root	44.37723	2097.897163	1746
71	Asientos	Root	76.11526	2679.920765	2021
71.1	Asientos	Leaf	26.44959	1453.657343	1090
72	Asientos	Root	73.63312	2814.140187	2191
73	Asientos	Root	48.56801	1835.733906	1332
74	Asientos	Root	55.62031	2151.0625	1522
75	Ejido	Leaf	15.89842	552.3220339	408
76	Ejido	Leaf	20.55321	866.6515152	583
77	Ejido	Leaf	20.17527	796.0625	533
78	Ejido	Leaf	15.48517	526.2075472	353
79	Ejido	Leaf	18.25773	903.1311475	526
80	Ejido	Leaf	20.26986	839.1293103	671
81	Ejido	Leaf	13.3326	528	407
82	Ejido	Leaf	15.15944	478.0178571	363
83	Ejido	Leaf	20.39979	838.9516129	582
84	Ejido	Leaf	15.98765	609.0181818	427
85	Ejido	Leaf	15.67198	577.6603774	407
86	Ejido	Root	63.15703	2678.156442	1949
87	Ejido	Root	52.53377	2198.528689	1484
88	Ejido	Root	45.79296	1935.025532	1374
89	Ejido	Root	49.85724	1988.441964	1409
90	Ejido	Root	45.04643	1953.927602	1362
91	Ejido	Root	39.29057	1698.621622	1223
92	Ejido	Root	47.60331	2074.917431	1427
93	Ejido	Root	37.93733	1675.876847	1176
94	Ejido	Root	42.74798	1856.961326	1235
95	Ejido	Root	35.35294	1471.619565	1027
96	Ejido	Root	36.65089	1552.734043	1046
97	Asientos	Root	59.05007	2615.762887	1841
98	Asientos	Root	35.81394	1387.016043	973
99	Asientos	Root	41.12381	1797.179348	1089
100	Asientos	Root	36.0723	1663.9	1088
101	Asientos	Root	39.50754	1696.320574	1230
102	Asientos	Root	31.96104	1400.341772	1016
103	Asientos	Root	43.45144	1770.374486	1311
104	Ejido	Root	40.68894	1668.551515	1059
105	Ejido	Root	42.68142	1733.862069	1271
106	Ejido	Root	34.12001	1439.194245	932
107	Ejido	Root	24.38626	1068.3	666
108	Ejido	Root	44.99669	1846.333333	1346
109	Ejido	Root	41.51913	1755.017544	1203
110	Ejido	Root	37.29084	1549.228723	1129
111	Ejido	Root	47.64179	1901.267241	1344
112	Ejido	Root	38.7506	1595	1031
113	Ejido	Root	42.20309	1594.690355	1167
114	Ejido	Root	38.82986	1771.640244	1111
115	Ejido	Root	30.19929	1292.421875	818
116	Divisa	Root	70.57784	1883.504967	1864
117	Divisa	Root	48.07901	1784.026201	1319
118	Divisa	Root	50.19539	1928.08642	1429
119	Divisa	Root	55.46502	1890.439331	1383
120	Divisa	Root	50.56043	1809.095238	1301
121	Divisa	Root	61.8881	2268.277027	1730
122	Divisa	Root	59.54836	2186.076087	1621
123	Divisa	Root	68.9187	2328.846154	1775
124	Divisa	Root	78.78431	3005.062147	2109
125	Divisa	Root	55.11377	2018.271255	1455
126	Divisa	Root	60.53008	2165.603448	1645
10LD	Divisa	Leaf	17.02007	652.04	526
12LD	Divisa	Leaf	28.07	1027.881579	728
13LD	Divisa	Leaf	16.23116	596.0535714	444
14LD	Divisa	Leaf	26.46803	978.1234568	702
15LD	Divisa	Leaf	22.68009	769.04	582
16LD	Divisa	Leaf	16.71178	691.0597015	494
17LD	Divisa	Leaf	17.38163	790.2947368	615
18LD	Divisa	Leaf	26.67242	861.5913978	696
19LD	Asientos	Leaf	20.45588	950.9850746	614
1LD	Asientos	Leaf	15.48212	552.0153846	419
20LD	Asientos	Leaf	16.95256	620.0923077	455
21LD	Asientos	Leaf	19.11798	995.4181818	604
22LD	Asientos	Leaf	20.84713	917.1590909	663
23LD	Asientos	Leaf	16.03228	507.5625	371
2LD	Asientos	Leaf	22.77469	1013.142857	771
3LD	Asientos	Leaf	17.55613	867.0240964	620
4LD	Asientos	Leaf	19.74001	822.0117647	613
6LD	Asientos	Leaf	21.05839	889.4390244	654
7LD	Asientos	Leaf	21.12131	907.75	619
8LD	Divisa	Leaf	17.1769	696.6630435	546
9LD	Divisa	Leaf	20.33453	976.6375	670
S1.799	Asientos	Soil	94.77993	3715.944304	2796
S10.799	Divisa	Soil	128.53915	4594.149635	3568
S11.799	Divisa	Soil	127.78332	4300.596803	3530
S12.799	Divisa	Soil	134.56105	4948.87415	3904
S2.799	Asientos	Soil	106.62211	3829.408537	3054
S3.799	Asientos	Soil	116.75536	4330.1	3376
S4.799	Asientos	Soil	116.15076	4139.226592	3279
S5.799	Ejido	Soil	117.67527	4499.011696	3466
S6.799	Ejido	Soil	91.13923	3365.647887	2560
S7.799	Ejido	Soil	100.61104	3789.321277	3036
S8.799	Ejido	Soil	98.44359	3588.376368	2841
S9.799	Divisa	Soil	113.48741	3977.045356	3064
