SampleID	Site	Description	PD_whole_tree	chao1	LNChao1	observed_otus
24	Asientos	Leaf	17.46031	710.137931	6.56545922	499
25	Asientos	Leaf	18.01341	661.125	6.493942929	498
26	Asientos	Leaf	17.51098	723.122449	6.58357857	470
27	Asientos	Leaf	18.47196	723.2941176	6.583815941	477
28	Asientos	Leaf	21.13832	913.7	6.81750229	642
32	Ejido	Leaf	19.75962	737.1666667	6.602814009	526
33	Ejido	Leaf	18.27158	681.1612903	6.523799121	476
34	Ejido	Leaf	17.07835	603.7540984	6.403166993	423
36	Ejido	Leaf	16.14462	639.5192308	6.460716692	410
37	Ejido	Leaf	14.35121	632.1960784	6.449199597	416
37.1	Divisa	Leaf	18.88998	995.81	6.903556476	692
38	Ejido	Leaf	12.77121	407.0222222	6.008867784	320
38.1	Divisa	Root	37.04931	1737.310881	7.460093726	1395
39.1	Divisa	Leaf	25.20866	1422.979167	7.260507958	1046
40	Ejido	Leaf	20.84521	742.1097561	6.609497151	550
40.1	Divisa	Root	36.35703	1671.352941	7.421388722	1341
41	Divisa	Leaf	22.21548	953.5	6.860139425	686
41.1	Divisa	Leaf	17.52161	840	6.733401892	595
42	Divisa	Leaf	24.63466	1015.390909	6.923028949	759
42.1	Divisa	Root	35.40616	1554.166667	7.348694775	1233
43	Divisa	Leaf	24.34938	872.0606061	6.770858924	702
43.1	Divisa	Leaf	19.68242	919.2	6.823503727	680
44	Divisa	Leaf	24.02739	1055.540541	6.961808275	795
45	Divisa	Leaf	23.19362	1095.729167	6.999175326	745
45.1	Divisa	Root	19.94811	1109.878261	7.012005613	808
46	Divisa	Leaf	26.20491	1118.5	7.019743781	772
47	Divisa	Leaf	22.30516	923.7640449	6.828456676	658
47.1	Divisa	Leaf	17.22799	1156.009091	7.052728913	816
48	Divisa	Leaf	21.59599	903.7590361	6.806562772	624
49.1	Ejido	Leaf	12.99573	670.6935484	6.508312324	439
50.1	Ejido	Root	38.89442	1765.905213	7.476418707	1430
51.1	Ejido	Leaf	16.13335	850.2282609	6.745504856	653
52.1	Ejido	Leaf	30.64608	1390.063584	7.237104769	1115
53	Divisa	Root	62.0407	2447.633333	7.80287685	1808
53.1	Ejido	Root	19.52652	1158.011236	7.054459361	753
54	Divisa	Root	105.37066	4057.031712	8.30820688	3122
54.1	Ejido	Root	36.2511	1797.855	7.494349567	1434
55	Divisa	Root	52.25532	2105.44843	7.652283755	1448
55.1	Ejido	Leaf	20.69666	1113.470085	7.015236621	819
56	Divisa	Root	100.20001	3795.805882	8.241652021	2880
56.1	Ejido	Root	40.64091	1898.6	7.548872051	1551
57	Divisa	Root	90.48305	3244.203125	8.084625029	2501
57.1	Ejido	Leaf	13.5999	882.1388889	6.782349514	655
58	Divisa	Root	66.17102	2548.974026	7.843446214	1883
59	Divisa	Root	54.97007	2183.22449	7.688558187	1435
59.1	Ejido	Leaf	32.97404	1521.006369	7.32712748	1210
60	Divisa	Root	66.80609	2803.221885	7.938524708	1908
60.1	Ejido	Root	39.16531	1803.055276	7.497237881	1445
61	Divisa	Root	89.72378	3316	8.106514516	2504
61.1	Asientos	Leaf	38.87391	1986.028986	7.593892439	1565
62	Divisa	Root	70.61886	2839.112069	7.95124663	2032
62.1	Asientos	Root	23.12008	1109.368852	7.011546531	846
63	Divisa	Root	97.19825	4129.193548	8.3258374	3055
63.1	Asientos	Leaf	34.97756	1448.248555	7.278110212	1189
64	Divisa	Root	59.34566	2386.050847	7.777394913	1785
64.1	Asientos	Root	33.999	1531.972376	7.334311319	1257
65	Asientos	Root	60.01489	2206.777778	7.699288711	1584
65.1	Asientos	Leaf	30.89312	1515.120805	7.323250454	1153
66	Asientos	Root	58.9265	2015.194915	7.608471202	1450
66.1	Asientos	Root	51.43326	2275.351779	7.729889947	1836
67	Asientos	Root	67.22814	2531.748201	7.836665332	1766
67.1	Asientos	Leaf	18.40933	943.6842105	6.849791587	690
68	Asientos	Root	75.51061	2976.334262	7.998447709	2227
68.1	Asientos	Root	42.51715	1955.34874	7.57832384	1566
69	Asientos	Root	75.4124	3069.371681	8.029228156	2329
69.1	Asientos	Leaf	27.61821	1523.131579	7.328523744	1209
70	Asientos	Root	39.73167	1704.40678	7.440972399	1176
70.1	Asientos	Root	44.37723	2097.897163	7.648690771	1746
71	Asientos	Root	76.11526	2679.920765	7.893542508	2021
71.1	Asientos	Leaf	26.44959	1453.657343	7.281837965	1090
72	Asientos	Root	73.63312	2814.140187	7.942412054	2191
73	Asientos	Root	48.56801	1835.733906	7.515199629	1332
74	Asientos	Root	55.62031	2151.0625	7.673717185	1522
75	Ejido	Leaf	15.89842	552.3220339	6.314131271	408
76	Ejido	Leaf	20.55321	866.6515152	6.764636953	583
77	Ejido	Leaf	20.17527	796.0625	6.6796777	533
78	Ejido	Leaf	15.48517	526.2075472	6.265695711	353
79	Ejido	Leaf	18.25773	903.1311475	6.805867778	526
80	Ejido	Leaf	20.26986	839.1293103	6.732364819	671
81	Ejido	Leaf	13.3326	528	6.269096284	407
82	Ejido	Leaf	15.15944	478.0178571	6.16964809	363
83	Ejido	Leaf	20.39979	838.9516129	6.732153032	582
84	Ejido	Leaf	15.98765	609.0181818	6.411848122	427
85	Ejido	Leaf	15.67198	577.6603774	6.358986114	407
86	Ejido	Root	63.15703	2678.156442	7.892883942	1949
87	Ejido	Root	52.53377	2198.528689	7.695543638	1484
88	Ejido	Root	45.79296	1935.025532	7.5678758	1374
89	Ejido	Root	49.85724	1988.441964	7.595106679	1409
90	Ejido	Root	45.04643	1953.927602	7.577596781	1362
91	Ejido	Root	39.29057	1698.621622	7.43757239	1223
92	Ejido	Root	47.60331	2074.917431	7.63767664	1427
93	Ejido	Root	37.93733	1675.876847	7.424091798	1176
94	Ejido	Root	42.74798	1856.961326	7.526696735	1235
95	Ejido	Root	35.35294	1471.619565	7.294118818	1027
96	Ejido	Root	36.65089	1552.734043	7.347772554	1046
97	Asientos	Root	59.05007	2615.762887	7.869311069	1841
98	Asientos	Root	35.81394	1387.016043	7.234909987	973
99	Asientos	Root	41.12381	1797.179348	7.493973686	1089
100	Asientos	Root	36.0723	1663.9	7.416919523	1088
101	Asientos	Root	39.50754	1696.320574	7.436216816	1230
102	Asientos	Root	31.96104	1400.341772	7.244471609	1016
103	Asientos	Root	43.45144	1770.374486	7.478946377	1311
104	Ejido	Root	40.68894	1668.551515	7.419711173	1059
105	Ejido	Root	42.68142	1733.862069	7.458106609	1271
106	Ejido	Root	34.12001	1439.194245	7.271838684	932
107	Ejido	Root	24.38626	1068.3	6.973823879	666
108	Ejido	Root	44.99669	1846.333333	7.520956969	1346
109	Ejido	Root	41.51913	1755.017544	7.470234132	1203
110	Ejido	Root	37.29084	1549.228723	7.345512488	1129
111	Ejido	Root	47.64179	1901.267241	7.550275912	1344
112	Ejido	Root	38.7506	1595	7.374629015	1031
113	Ejido	Root	42.20309	1594.690355	7.374434862	1167
114	Ejido	Root	38.82986	1771.640244	7.479661088	1111
115	Ejido	Root	30.19929	1292.421875	7.16427316	818
116	Divisa	Root	70.57784	1883.504967	7.540889664	1864
117	Divisa	Root	48.07901	1784.026201	7.486628	1319
118	Divisa	Root	50.19539	1928.08642	7.564283298	1429
119	Divisa	Root	55.46502	1890.439331	7.544564531	1383
120	Divisa	Root	50.56043	1809.095238	7.500582131	1301
121	Divisa	Root	61.8881	2268.277027	7.726775803	1730
122	Divisa	Root	59.54836	2186.076087	7.689863475	1621
123	Divisa	Root	68.9187	2328.846154	7.753128211	1775
124	Divisa	Root	78.78431	3005.062147	8.008053528	2109
125	Divisa	Root	55.11377	2018.271255	7.60999661	1455
126	Divisa	Root	60.53008	2165.603448	7.680454331	1645
10LD	Divisa	Leaf	17.02007	652.04	6.48010591	526
12LD	Divisa	Leaf	28.07	1027.881579	6.935255244	728
13LD	Divisa	Leaf	16.23116	596.0535714	6.390330548	444
14LD	Divisa	Leaf	26.46803	978.1234568	6.885635896	702
15LD	Divisa	Leaf	22.68009	769.04	6.645142984	582
16LD	Divisa	Leaf	16.71178	691.0597015	6.538226219	494
17LD	Divisa	Leaf	17.38163	790.2947368	6.67240596	615
18LD	Divisa	Leaf	26.67242	861.5913978	6.758781142	696
19LD	Asientos	Leaf	20.45588	950.9850746	6.857498368	614
1LD	Asientos	Leaf	15.48212	552.0153846	6.313575917	419
20LD	Asientos	Leaf	16.95256	620.0923077	6.42986835	455
21LD	Asientos	Leaf	19.11798	995.4181818	6.903162932	604
