SampleID,Soil,ExpType,Tissue
24,Asientos,Field,Leaf
26,Asientos,Field,Leaf
27,Asientos,Field,Leaf
33,Ejido,Field,Leaf
34,Ejido,Field,Leaf
37.1,Divisa,Greenhouse,Leaf
39.1,Divisa,Greenhouse,Leaf
41,Divisa,Field,Leaf
41.1,Divisa,Greenhouse,Leaf
43,Divisa,Field,Leaf
43.1,Divisa,Greenhouse,Leaf
46,Divisa,Field,Leaf
47.1,Divisa,Greenhouse,Leaf
48,Divisa,Greenhouse,Leaf
49.1,Ejido,Greenhouse,Leaf
51.1,Ejido,Greenhouse,Leaf
52.1,Ejido,Greenhouse,Leaf
55.1,Ejido,Greenhouse,Leaf
57.1,Ejido,Greenhouse,Leaf
59.1,Ejido,Greenhouse,Leaf
61.1,Asientos,Greenhouse,Leaf
63.1,Asientos,Greenhouse,Leaf
65.1,Asientos,Greenhouse,Leaf
67.1,Asientos,Greenhouse,Leaf
69.1,Asientos,Greenhouse,Leaf
71.1,Asientos,Greenhouse,Leaf
75,Ejido,Field,Leaf
79,Ejido,Field,Leaf
81,Ejido,Field,Leaf
82,Ejido,Field,Leaf
85,Ejido,Field,Leaf
10LD,Divisa,Field,Leaf
13LD,Divisa,Field,Leaf
18LD,Divisa,Field,Leaf
1LD,Asientos,Field,Leaf
22LD,Asientos,Field,Leaf
23LD,Asientos,Field,Leaf
6LD,Asientos,Field,Leaf
7LD,Asientos,Field,Leaf
8LD,Divisa,Field,Leaf
