SampleID,Soil,ExpType,Tissue
24,Asientos,Field,Leaf
26,Asientos,Field,Leaf
27,Asientos,Field,Leaf
33,Ejido,Field,Leaf
34,Ejido,Field,Leaf
37.1,Divisa,Greenhouse,Leaf
39.1,Divisa,Greenhouse,Leaf
41,Divisa,Field,Leaf
41.1,Divisa,Greenhouse,Leaf
43,Divisa,Field,Leaf
43.1,Divisa,Greenhouse,Leaf
46,Divisa,Field,Leaf
47.1,Divisa,Greenhouse,Leaf
48,Divisa,Greenhouse,Leaf
49.1,Ejido,Greenhouse,Leaf
51.1,Ejido,Greenhouse,Leaf
52.1,Ejido,Greenhouse,Leaf
55.1,Ejido,Greenhouse,Leaf
57.1,Ejido,Greenhouse,Leaf
59.1,Ejido,Greenhouse,Leaf
61.1,Asientos,Greenhouse,Leaf
63.1,Asientos,Greenhouse,Leaf
65.1,Asientos,Greenhouse,Leaf
67.1,Asientos,Greenhouse,Leaf
69.1,Asientos,Greenhouse,Leaf
71.1,Asientos,Greenhouse,Leaf
75,Ejido,Field,Leaf
79,Ejido,Field,Leaf
81,Ejido,Field,Leaf
82,Ejido,Field,Leaf
85,Ejido,Field,Leaf
10LD,Divisa,Field,Leaf
13LD,Divisa,Field,Leaf
18LD,Divisa,Field,Leaf
1LD,Asientos,Field,Leaf
22LD,Asientos,Field,Leaf
23LD,Asientos,Field,Leaf
6LD,Asientos,Field,Leaf
7LD,Asientos,Field,Leaf
8LD,Divisa,Field,Leaf
38.1,Divisa,Greenhouse,Root
40.1,Divisa,Greenhouse,Root
42.1,Divisa,Greenhouse,Root
45.1,Divisa,Greenhouse,Root
50.1,Ejido,Greenhouse,Root
53,Divisa,Field,Root
53.1,Ejido,Greenhouse,Root
54.1,Ejido,Greenhouse,Root
55,Divisa,Field,Root
56.1,Ejido,Greenhouse,Root
58,Divisa,Field,Root
60,Divisa,Field,Root
60.1,Ejido,Greenhouse,Root
61,Divisa,Field,Root
62.1,Asientos,Greenhouse,Root
63,Divisa,Field,Root
64.1,Asientos,Greenhouse,Root
66.1,Asientos,Greenhouse,Root
68,Asientos,Field,Root
68.1,Asientos,Greenhouse,Root
69,Asientos,Field,Root
70,Asientos,Field,Root
70.1,Asientos,Greenhouse,Root
72,Asientos,Field,Root
73,Asientos,Field,Root
86,Ejido,Field,Root
90,Ejido,Field,Root
92,Ejido,Field,Root
93,Ejido,Field,Root
96,Ejido,Field,Root
97,Asientos,Field,Root
102,Asientos,Field,Root
103,Asientos,Field,Root
105,Ejido,Field,Root
106,Ejido,Field,Root
108,Ejido,Field,Root
109,Ejido,Field,Root
110,Ejido,Field,Root
114,Ejido,Field,Root
116,Divisa,Field,Root
118,Divisa,Field,Root
119,Divisa,Field,Root
121,Divisa,Field,Root
126,Divisa,Field,Root
