	24	25	26	27	28	32	33	34	36	37	38	40	41	42	43	44	45	46	47	48	75	76	77	78	79	80	81	82	83	84	85	10LD	12LD	13LD	14LD	15LD	16LD	17LD	18LD	19LD	1LD	20LD	21LD	22LD	23LD	2LD	3LD	4LD	6LD	7LD	8LD	9LD
24	0	0.573919346	0.563417659	0.516353433	0.550635227	0.622573894	0.642332545	0.639108052	0.648875891	0.653750019	0.612431677	0.614548679	0.595403423	0.618763847	0.606481165	0.586415851	0.651139846	0.572293111	0.547828867	0.620713846	0.627013454	0.637317908	0.658915227	0.692927112	0.645363206	0.700375783	0.742835232	0.671637476	0.6384916	0.613012099	0.647431791	0.719947467	0.639913855	0.618809903	0.600775634	0.67406112	0.709239005	0.620739665	0.632332822	0.546558414	0.666395048	0.597189894	0.525155425	0.625598989	0.594157791	0.635160737	0.610159613	0.604630084	0.616883468	0.614854085	0.636531195	0.601729024
25	0.573919346	0	0.573738538	0.545629084	0.587702119	0.650231829	0.607512847	0.672722787	0.66754158	0.656537449	0.601965504	0.642270843	0.675368951	0.697473327	0.651938559	0.647480478	0.646953168	0.633085005	0.664689951	0.669071312	0.631369558	0.6332387	0.600736271	0.683491576	0.667516778	0.699191975	0.74432751	0.620082289	0.641117719	0.582185913	0.619389061	0.723524489	0.646528242	0.639359733	0.623563578	0.64194055	0.723973587	0.675168329	0.636588631	0.64808934	0.672231752	0.628811246	0.569612254	0.618075646	0.636208529	0.623579163	0.58258821	0.549744425	0.624429916	0.649052027	0.678615473	0.619543858
26	0.563417659	0.573738538	0	0.53323095	0.598180398	0.626059126	0.645442302	0.666690682	0.646165781	0.682294391	0.63164336	0.616972461	0.631639547	0.63816106	0.627721356	0.613116572	0.640933553	0.627932102	0.620313383	0.64099529	0.632933793	0.64866382	0.650309539	0.690202313	0.665239336	0.710481004	0.767793166	0.651348746	0.663542536	0.630037505	0.655396293	0.720436073	0.648037499	0.644809118	0.640298538	0.669831456	0.675678466	0.639696192	0.661497837	0.571774452	0.675842491	0.609712993	0.532413061	0.644049117	0.656293884	0.63174988	0.624004489	0.560588609	0.632182044	0.62558397	0.653696559	0.617712929
27	0.516353433	0.545629084	0.53323095	0	0.590352899	0.596495607	0.627851044	0.629130707	0.639822569	0.642051315	0.627376019	0.610049883	0.619193038	0.63474187	0.591535085	0.586090602	0.611527394	0.571816968	0.600129043	0.606523376	0.624039707	0.595170105	0.637163723	0.660747764	0.626495704	0.73504393	0.748566031	0.654811206	0.646467646	0.600152139	0.642632536	0.696208023	0.616123677	0.610390763	0.580771777	0.640105014	0.712869657	0.636474862	0.622705145	0.57848384	0.686385855	0.607647874	0.56854037	0.60168388	0.586301195	0.60305274	0.605435179	0.611431604	0.636397736	0.614015237	0.621247263	0.608948662
28	0.550635227	0.587702119	0.598180398	0.590352899	0	0.648376093	0.652473461	0.661858953	0.669015521	0.686177192	0.614581197	0.649742883	0.60634527	0.638327644	0.646011847	0.623533961	0.649161922	0.589719065	0.601740033	0.597620365	0.658444614	0.649806017	0.66991261	0.695734237	0.667323016	0.714864233	0.77914402	0.679925445	0.653952206	0.641725911	0.64461388	0.691392017	0.61311875	0.644557848	0.623928484	0.649056293	0.661413257	0.59523903	0.633816113	0.591365627	0.691911798	0.623928946	0.503213843	0.629688585	0.536045854	0.641517157	0.620620309	0.594148432	0.655322768	0.666257445	0.629342824	0.61407939
32	0.622573894	0.650231829	0.626059126	0.596495607	0.648376093	0	0.57725784	0.553300101	0.539524283	0.634470182	0.575388453	0.594514669	0.649820799	0.592618761	0.667263245	0.649989837	0.651014897	0.651707491	0.664856479	0.669795857	0.577354665	0.590169685	0.633631965	0.628395907	0.601508944	0.679813421	0.761594606	0.658959196	0.620118276	0.615827135	0.566846308	0.749042686	0.703177413	0.65570047	0.664589432	0.663441605	0.71543051	0.688219435	0.662484047	0.603090007	0.702438065	0.619583878	0.630358027	0.644237314	0.630606223	0.647160669	0.623814287	0.604827382	0.630709549	0.664208767	0.649930623	0.62801208
33	0.642332545	0.607512847	0.645442302	0.627851044	0.652473461	0.57725784	0	0.567862952	0.582777017	0.625310603	0.574327062	0.604221177	0.684819806	0.671611301	0.674276854	0.670455121	0.687906335	0.639154259	0.684232912	0.690948186	0.612634189	0.619004947	0.612611864	0.67046049	0.617163497	0.677582072	0.75514095	0.664303723	0.630923612	0.575415758	0.597946569	0.7718578	0.698097907	0.644729318	0.658748021	0.64470369	0.705067213	0.675128361	0.667728732	0.641722131	0.721351894	0.670889509	0.64061571	0.668119259	0.635182223	0.66062929	0.616503029	0.597274822	0.657790923	0.657751424	0.643063438	0.656551546
34	0.639108052	0.672722787	0.666690682	0.629130707	0.661858953	0.553300101	0.567862952	0	0.505426357	0.693718024	0.522335769	0.608782011	0.640876088	0.621820067	0.71211514	0.664721709	0.639744009	0.642559368	0.659909534	0.653604436	0.615553606	0.615988551	0.690050205	0.627058295	0.647321348	0.710684613	0.779590381	0.662893393	0.643551234	0.632093859	0.62158868	0.780536198	0.749829975	0.681016654	0.688080083	0.673227183	0.697555292	0.632828219	0.685789048	0.619261137	0.705332075	0.656280749	0.625979971	0.667628208	0.677625156	0.672940288	0.618460239	0.653412806	0.684626125	0.711094225	0.6307895	0.680668233
36	0.648875891	0.66754158	0.646165781	0.639822569	0.669015521	0.539524283	0.582777017	0.505426357	0	0.669551358	0.537948514	0.60615158	0.626676171	0.579652066	0.709702923	0.694430791	0.633742913	0.670092517	0.658447266	0.666568743	0.646222004	0.619780029	0.665490373	0.613590292	0.680495286	0.707712566	0.775502508	0.655111389	0.644216956	0.621332204	0.631488073	0.777951539	0.736194937	0.692952826	0.697973833	0.689197649	0.670592467	0.61452122	0.694657285	0.57761496	0.674521866	0.612615664	0.612356461	0.678398724	0.650073565	0.650984154	0.596441346	0.663471123	0.686480195	0.699628043	0.603775338	0.687673959
37	0.653750019	0.656537449	0.682294391	0.642051315	0.686177192	0.634470182	0.625310603	0.693718024	0.669551358	0	0.654370693	0.619102967	0.727496837	0.710542633	0.722343159	0.700112753	0.71699153	0.700448866	0.69857911	0.723940331	0.63864051	0.649275047	0.656541459	0.680970853	0.672988592	0.655377865	0.720199198	0.671601381	0.6679384	0.629404705	0.658345336	0.729620108	0.706701977	0.65776101	0.682892064	0.697970693	0.667666985	0.706012766	0.698235406	0.688948155	0.759787034	0.672552544	0.648603142	0.715042917	0.665007184	0.692687763	0.657641568	0.654482757	0.67884156	0.689441032	0.718007754	0.678030457
