Sample	Plot	Site	Treatment	Al	B	Ca	Cu	Fe	K	Mg	Mn	P	Zn	Rainfall	pH
97	1	Asientos	Low	769.1504583	0.122442047	1026.172526	5.311675425	169.3186331	38.1743125	318.3832081	227.613122	2.847722894	3.063396583	218.83	5.65
102	1	Asientos	Low	769.1504583	0.122442047	1026.172526	5.311675425	169.3186331	38.1743125	318.3832081	227.613122	2.847722894	3.063396583	218.83	5.65
103	1	Asientos	Low	769.1504583	0.122442047	1026.172526	5.311675425	169.3186331	38.1743125	318.3832081	227.613122	2.847722894	3.063396583	218.83	5.65
98	1	Asientos	High	199.106275	0.112206998	4342.241767	4.543353687	90.8114429	35.71765275	273.1330035	165.8299296	5.150251425	2.640298632	218.83	7.43
99	1	Asientos	High	199.106275	0.112206998	4342.241767	4.543353687	90.8114429	35.71765275	273.1330035	165.8299296	5.150251425	2.640298632	218.83	7.43
100	1	Asientos	High	199.106275	0.112206998	4342.241767	4.543353687	90.8114429	35.71765275	273.1330035	165.8299296	5.150251425	2.640298632	218.83	7.43
101	1	Asientos	High	199.106275	0.112206998	4342.241767	4.543353687	90.8114429	35.71765275	273.1330035	165.8299296	5.150251425	2.640298632	218.83	7.43
68	2	Asientos	Low	767.5220182	0.249872327	2600.95306	6.537060145	129.4155258	55.60308415	713.4200677	77.63070807	1.967745188	2.736982088	218.83	6.78
69	2	Asientos	Low	767.5220182	0.249872327	2600.95306	6.537060145	129.4155258	55.60308415	713.4200677	77.63070807	1.967745188	2.736982088	218.83	6.78
70	2	Asientos	Low	767.5220182	0.249872327	2600.95306	6.537060145	129.4155258	55.60308415	713.4200677	77.63070807	1.967745188	2.736982088	218.83	6.78
72	2	Asientos	Low	767.5220182	0.249872327	2600.95306	6.537060145	129.4155258	55.60308415	713.4200677	77.63070807	1.967745188	2.736982088	218.83	6.78
73	2	Asientos	Low	767.5220182	0.249872327	2600.95306	6.537060145	129.4155258	55.60308415	713.4200677	77.63070807	1.967745188	2.736982088	218.83	6.78
74	2	Asientos	High	281.3406012	0.260241736	5891.121868	6.454892565	94.03255833	43.7809052	618.4476074	92.74474765	2.355821429	3.206287951	218.83	7.84
71	2	Asientos	High	281.3406012	0.260241736	5891.121868	6.454892565	94.03255833	43.7809052	618.4476074	92.74474765	2.355821429	3.206287951	218.83	7.84
67	2	Asientos	High	281.3406012	0.260241736	5891.121868	6.454892565	94.03255833	43.7809052	618.4476074	92.74474765	2.355821429	3.206287951	218.83	7.84
66	2	Asientos	High	281.3406012	0.260241736	5891.121868	6.454892565	94.03255833	43.7809052	618.4476074	92.74474765	2.355821429	3.206287951	218.83	7.84
65	2	Asientos	High	281.3406012	0.260241736	5891.121868	6.454892565	94.03255833	43.7809052	618.4476074	92.74474765	2.355821429	3.206287951	218.83	7.84
86	3	Ejido	Low	527.4132521	0.364555	1645.347798	5.253810098	114.2218495	145.5776833	1754.337017	151.5432968	5.51685296	2.009551846	108.73	6.55
90	3	Ejido	Low	527.4132521	0.364555	1645.347798	5.253810098	114.2218495	145.5776833	1754.337017	151.5432968	5.51685296	2.009551846	108.73	6.55
92	3	Ejido	Low	527.4132521	0.364555	1645.347798	5.253810098	114.2218495	145.5776833	1754.337017	151.5432968	5.51685296	2.009551846	108.73	6.55
93	3	Ejido	Low	527.4132521	0.364555	1645.347798	5.253810098	114.2218495	145.5776833	1754.337017	151.5432968	5.51685296	2.009551846	108.73	6.55
96	3	Ejido	Low	527.4132521	0.364555	1645.347798	5.253810098	114.2218495	145.5776833	1754.337017	151.5432968	5.51685296	2.009551846	108.73	6.55
95	3	Ejido	High	85.93508214	0.393973411	4543.042634	4.778714923	82.64329579	133.8784363	1487.907812	128.7519442	6.297268124	2.085181685	108.73	7.99
87	3	Ejido	High	85.93508214	0.393973411	4543.042634	4.778714923	82.64329579	133.8784363	1487.907812	128.7519442	6.297268124	2.085181685	108.73	7.99
88	3	Ejido	High	85.93508214	0.393973411	4543.042634	4.778714923	82.64329579	133.8784363	1487.907812	128.7519442	6.297268124	2.085181685	108.73	7.99
89	3	Ejido	High	85.93508214	0.393973411	4543.042634	4.778714923	82.64329579	133.8784363	1487.907812	128.7519442	6.297268124	2.085181685	108.73	7.99
91	3	Ejido	High	85.93508214	0.393973411	4543.042634	4.778714923	82.64329579	133.8784363	1487.907812	128.7519442	6.297268124	2.085181685	108.73	7.99
94	3	Ejido	High	85.93508214	0.393973411	4543.042634	4.778714923	82.64329579	133.8784363	1487.907812	128.7519442	6.297268124	2.085181685	108.73	7.99
105	4	Ejido	Low	596.7927037	0.253790475	1597.677472	5.744595031	105.6338618	171.367238	1679.295553	148.4250701	7.635313495	1.995310889	108.73	6.18
106	4	Ejido	Low	596.7927037	0.253790475	1597.677472	5.744595031	105.6338618	171.367238	1679.295553	148.4250701	7.635313495	1.995310889	108.73	6.18
108	4	Ejido	Low	596.7927037	0.253790475	1597.677472	5.744595031	105.6338618	171.367238	1679.295553	148.4250701	7.635313495	1.995310889	108.73	6.18
109	4	Ejido	Low	596.7927037	0.253790475	1597.677472	5.744595031	105.6338618	171.367238	1679.295553	148.4250701	7.635313495	1.995310889	108.73	6.18
110	4	Ejido	Low	596.7927037	0.253790475	1597.677472	5.744595031	105.6338618	171.367238	1679.295553	148.4250701	7.635313495	1.995310889	108.73	6.18
114	4	Ejido	Low	596.7927037	0.253790475	1597.677472	5.744595031	105.6338618	171.367238	1679.295553	148.4250701	7.635313495	1.995310889	108.73	6.18
104	4	Ejido	High	229.13706	0.293688607	4603.419851	5.288489614	77.8590928	167.6123436	1485.053432	126.9342434	6.165243281	1.88657446	108.73	7.68
107	4	Ejido	High	229.13706	0.293688607	4603.419851	5.288489614	77.8590928	167.6123436	1485.053432	126.9342434	6.165243281	1.88657446	108.73	7.68
111	4	Ejido	High	229.13706	0.293688607	4603.419851	5.288489614	77.8590928	167.6123436	1485.053432	126.9342434	6.165243281	1.88657446	108.73	7.68
112	4	Ejido	High	229.13706	0.293688607	4603.419851	5.288489614	77.8590928	167.6123436	1485.053432	126.9342434	6.165243281	1.88657446	108.73	7.68
113	4	Ejido	High	229.13706	0.293688607	4603.419851	5.288489614	77.8590928	167.6123436	1485.053432	126.9342434	6.165243281	1.88657446	108.73	7.68
115	4	Ejido	High	229.13706	0.293688607	4603.419851	5.288489614	77.8590928	167.6123436	1485.053432	126.9342434	6.165243281	1.88657446	108.73	7.68
