Sample	Plot	Site	Treatment	Al	B	Ca	Cu	Fe	K	Mg	Mn	P	Zn	Rainfall	pH	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11
1LD	1	Asientos	Low	769.1504583	0.122442047	1026.172526	5.311675425	169.3186331	38.1743125	318.3832081	227.613122	2.847722894	3.063396583	218.83	5.65	0.018683914	-0.318783175	0.084852191	0.030351977	-0.076179322	-0.015129338	-0.012016855	0.097262648	-0.029714125	0.001471455	0.081031686
6LD	1	Asientos	Low	769.1504583	0.122442047	1026.172526	5.311675425	169.3186331	38.1743125	318.3832081	227.613122	2.847722894	3.063396583	218.83	5.65	0.018683914	-0.318783175	0.084852191	0.030351977	-0.076179322	-0.015129338	-0.012016855	0.097262648	-0.029714125	0.001471455	0.081031686
7LD	1	Asientos	Low	769.1504583	0.122442047	1026.172526	5.311675425	169.3186331	38.1743125	318.3832081	227.613122	2.847722894	3.063396583	218.83	5.65	0.018683914	-0.318783175	0.084852191	0.030351977	-0.076179322	-0.015129338	-0.012016855	0.097262648	-0.029714125	0.001471455	0.081031686
2LD	1	Asientos	High	199.106275	0.112206998	4342.241767	4.543353687	90.8114429	35.71765275	273.1330035	165.8299296	5.150251425	2.640298632	218.83	7.43	0.013973219	-0.041017911	0.171782009	0.190040156	-0.004337858	-0.007894081	0.04578935	-0.125983748	0.02300156	-0.00970082	-0.09829254
3LD	1	Asientos	High	199.106275	0.112206998	4342.241767	4.543353687	90.8114429	35.71765275	273.1330035	165.8299296	5.150251425	2.640298632	218.83	7.43	0.013973219	-0.041017911	0.171782009	0.190040156	-0.004337858	-0.007894081	0.04578935	-0.125983748	0.02300156	-0.00970082	-0.09829254
4LD	1	Asientos	High	199.106275	0.112206998	4342.241767	4.543353687	90.8114429	35.71765275	273.1330035	165.8299296	5.150251425	2.640298632	218.83	7.43	0.013973219	-0.041017911	0.171782009	0.190040156	-0.004337858	-0.007894081	0.04578935	-0.125983748	0.02300156	-0.00970082	-0.09829254
24	2	Asientos	Low	767.5220182	0.249872327	2600.95306	6.537060145	129.4155258	55.60308415	713.4200677	77.63070807	1.967745188	2.736982088	218.83	6.78	-0.105025163	-0.081527687	0.087543978	-0.249063303	0.04003408	0.116205075	0.026314671	-0.046358399	0.02509806	-0.012161097	-0.059671764
26	2	Asientos	Low	767.5220182	0.249872327	2600.95306	6.537060145	129.4155258	55.60308415	713.4200677	77.63070807	1.967745188	2.736982088	218.83	6.78	-0.105025163	-0.081527687	0.087543978	-0.249063303	0.04003408	0.116205075	0.026314671	-0.046358399	0.02509806	-0.012161097	-0.059671764
27	2	Asientos	Low	767.5220182	0.249872327	2600.95306	6.537060145	129.4155258	55.60308415	713.4200677	77.63070807	1.967745188	2.736982088	218.83	6.78	-0.105025163	-0.081527687	0.087543978	-0.249063303	0.04003408	0.116205075	0.026314671	-0.046358399	0.02509806	-0.012161097	-0.059671764
22LD	2	Asientos	Low	767.5220182	0.249872327	2600.95306	6.537060145	129.4155258	55.60308415	713.4200677	77.63070807	1.967745188	2.736982088	218.83	6.78	-0.105025163	-0.081527687	0.087543978	-0.249063303	0.04003408	0.116205075	0.026314671	-0.046358399	0.02509806	-0.012161097	-0.059671764
23LD	2	Asientos	Low	767.5220182	0.249872327	2600.95306	6.537060145	129.4155258	55.60308415	713.4200677	77.63070807	1.967745188	2.736982088	218.83	6.78	-0.105025163	-0.081527687	0.087543978	-0.249063303	0.04003408	0.116205075	0.026314671	-0.046358399	0.02509806	-0.012161097	-0.059671764
25	2	Asientos	High	281.3406012	0.260241736	5891.121868	6.454892565	94.03255833	43.7809052	618.4476074	92.74474765	2.355821429	3.206287951	218.83	7.84	-0.090122114	0.156038117	0.184285429	-0.0290162	0.115602805	-0.122422798	-0.071807464	0.091353107	-0.012489278	-0.020188509	0.019694454
28	2	Asientos	High	281.3406012	0.260241736	5891.121868	6.454892565	94.03255833	43.7809052	618.4476074	92.74474765	2.355821429	3.206287951	218.83	7.84	-0.090122114	0.156038117	0.184285429	-0.0290162	0.115602805	-0.122422798	-0.071807464	0.091353107	-0.012489278	-0.020188509	0.019694454
19LD	2	Asientos	High	281.3406012	0.260241736	5891.121868	6.454892565	94.03255833	43.7809052	618.4476074	92.74474765	2.355821429	3.206287951	218.83	7.84	-0.090122114	0.156038117	0.184285429	-0.0290162	0.115602805	-0.122422798	-0.071807464	0.091353107	-0.012489278	-0.020188509	0.019694454
20LD	2	Asientos	High	281.3406012	0.260241736	5891.121868	6.454892565	94.03255833	43.7809052	618.4476074	92.74474765	2.355821429	3.206287951	218.83	7.84	-0.090122114	0.156038117	0.184285429	-0.0290162	0.115602805	-0.122422798	-0.071807464	0.091353107	-0.012489278	-0.020188509	0.019694454
21LD	2	Asientos	High	281.3406012	0.260241736	5891.121868	6.454892565	94.03255833	43.7809052	618.4476074	92.74474765	2.355821429	3.206287951	218.83	7.84	-0.090122114	0.156038117	0.184285429	-0.0290162	0.115602805	-0.122422798	-0.071807464	0.091353107	-0.012489278	-0.020188509	0.019694454
75	3	Ejido	Low	527.4132521	0.364555	1645.347798	5.253810098	114.2218495	145.5776833	1754.337017	151.5432968	5.51685296	2.009551846	108.73	6.55	0.132439718	0.037496745	-0.039111326	-0.10864296	-0.106629863	-0.142839787	-0.014966242	-0.137685866	0.03150103	-0.032680239	0.076083458
79	3	Ejido	Low	527.4132521	0.364555	1645.347798	5.253810098	114.2218495	145.5776833	1754.337017	151.5432968	5.51685296	2.009551846	108.73	6.55	0.132439718	0.037496745	-0.039111326	-0.10864296	-0.106629863	-0.142839787	-0.014966242	-0.137685866	0.03150103	-0.032680239	0.076083458
81	3	Ejido	Low	527.4132521	0.364555	1645.347798	5.253810098	114.2218495	145.5776833	1754.337017	151.5432968	5.51685296	2.009551846	108.73	6.55	0.132439718	0.037496745	-0.039111326	-0.10864296	-0.106629863	-0.142839787	-0.014966242	-0.137685866	0.03150103	-0.032680239	0.076083458
82	3	Ejido	Low	527.4132521	0.364555	1645.347798	5.253810098	114.2218495	145.5776833	1754.337017	151.5432968	5.51685296	2.009551846	108.73	6.55	0.132439718	0.037496745	-0.039111326	-0.10864296	-0.106629863	-0.142839787	-0.014966242	-0.137685866	0.03150103	-0.032680239	0.076083458
85	3	Ejido	Low	527.4132521	0.364555	1645.347798	5.253810098	114.2218495	145.5776833	1754.337017	151.5432968	5.51685296	2.009551846	108.73	6.55	0.132439718	0.037496745	-0.039111326	-0.10864296	-0.106629863	-0.142839787	-0.014966242	-0.137685866	0.03150103	-0.032680239	0.076083458
84	3	Ejido	High	85.93508214	0.393973411	4543.042634	4.778714923	82.64329579	133.8784363	1487.907812	128.7519442	6.297268124	2.085181685	108.73	7.99	0.175117724	0.186747991	0.046360822	-0.009232046	-0.179433535	0.085379937	-0.007424324	0.089917858	-0.035668955	0.02831306	-0.049671025
76	3	Ejido	High	85.93508214	0.393973411	4543.042634	4.778714923	82.64329579	133.8784363	1487.907812	128.7519442	6.297268124	2.085181685	108.73	7.99	0.175117724	0.186747991	0.046360822	-0.009232046	-0.179433535	0.085379937	-0.007424324	0.089917858	-0.035668955	0.02831306	-0.049671025
77	3	Ejido	High	85.93508214	0.393973411	4543.042634	4.778714923	82.64329579	133.8784363	1487.907812	128.7519442	6.297268124	2.085181685	108.73	7.99	0.175117724	0.186747991	0.046360822	-0.009232046	-0.179433535	0.085379937	-0.007424324	0.089917858	-0.035668955	0.02831306	-0.049671025
78	3	Ejido	High	85.93508214	0.393973411	4543.042634	4.778714923	82.64329579	133.8784363	1487.907812	128.7519442	6.297268124	2.085181685	108.73	7.99	0.175117724	0.186747991	0.046360822	-0.009232046	-0.179433535	0.085379937	-0.007424324	0.089917858	-0.035668955	0.02831306	-0.049671025
80	3	Ejido	High	85.93508214	0.393973411	4543.042634	4.778714923	82.64329579	133.8784363	1487.907812	128.7519442	6.297268124	2.085181685	108.73	7.99	0.175117724	0.186747991	0.046360822	-0.009232046	-0.179433535	0.085379937	-0.007424324	0.089917858	-0.035668955	0.02831306	-0.049671025
83	3	Ejido	High	85.93508214	0.393973411	4543.042634	4.778714923	82.64329579	133.8784363	1487.907812	128.7519442	6.297268124	2.085181685	108.73	7.99	0.175117724	0.186747991	0.046360822	-0.009232046	-0.179433535	0.085379937	-0.007424324	0.089917858	-0.035668955	0.02831306	-0.049671025
33	4	Ejido	Low	596.7927037	0.253790475	1597.677472	5.744595031	105.6338618	171.367238	1679.295553	148.4250701	7.635313495	1.995310889	108.73	6.18	0.254061877	-0.096731625	-0.153683225	-0.019048796	0.0966203	-0.069291329	-0.049567598	0.040293112	-0.009150927	0.030136107	-0.126487022
34	4	Ejido	Low	596.7927037	0.253790475	1597.677472	5.744595031	105.6338618	171.367238	1679.295553	148.4250701	7.635313495	1.995310889	108.73	6.18	0.254061877	-0.096731625	-0.153683225	-0.019048796	0.0966203	-0.069291329	-0.049567598	0.040293112	-0.009150927	0.030136107	-0.126487022
32	4	Ejido	High	229.13706	0.293688607	4603.419851	5.288489614	77.8590928	167.6123436	1485.053432	126.9342434	6.165243281	1.88657446	108.73	7.68	0.252455204	0.058323413	-0.009421533	0.051703831	0.132266315	0.119870624	0.048876287	-0.014222189	0.034239036	-0.013117453	0.125507016
