Sample	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11
97	0.018683914	-0.318783175	0.084852191	0.030351977	-0.076179322	-0.015129338	-0.012016855	0.097262648	-0.029714125	0.001471455	0.081031686
102	0.018683914	-0.318783175	0.084852191	0.030351977	-0.076179322	-0.015129338	-0.012016855	0.097262648	-0.029714125	0.001471455	0.081031686
103	0.018683914	-0.318783175	0.084852191	0.030351977	-0.076179322	-0.015129338	-0.012016855	0.097262648	-0.029714125	0.001471455	0.081031686
98	0.013973219	-0.041017911	0.171782009	0.190040156	-0.004337858	-0.007894081	0.04578935	-0.125983748	0.02300156	-0.00970082	-0.09829254
99	0.013973219	-0.041017911	0.171782009	0.190040156	-0.004337858	-0.007894081	0.04578935	-0.125983748	0.02300156	-0.00970082	-0.09829254
100	0.013973219	-0.041017911	0.171782009	0.190040156	-0.004337858	-0.007894081	0.04578935	-0.125983748	0.02300156	-0.00970082	-0.09829254
101	0.013973219	-0.041017911	0.171782009	0.190040156	-0.004337858	-0.007894081	0.04578935	-0.125983748	0.02300156	-0.00970082	-0.09829254
68	-0.105025163	-0.081527687	0.087543978	-0.249063303	0.04003408	0.116205075	0.026314671	-0.046358399	0.02509806	-0.012161097	-0.059671764
69	-0.105025163	-0.081527687	0.087543978	-0.249063303	0.04003408	0.116205075	0.026314671	-0.046358399	0.02509806	-0.012161097	-0.059671764
70	-0.105025163	-0.081527687	0.087543978	-0.249063303	0.04003408	0.116205075	0.026314671	-0.046358399	0.02509806	-0.012161097	-0.059671764
72	-0.105025163	-0.081527687	0.087543978	-0.249063303	0.04003408	0.116205075	0.026314671	-0.046358399	0.02509806	-0.012161097	-0.059671764
73	-0.105025163	-0.081527687	0.087543978	-0.249063303	0.04003408	0.116205075	0.026314671	-0.046358399	0.02509806	-0.012161097	-0.059671764
74	-0.090122114	0.156038117	0.184285429	-0.0290162	0.115602805	-0.122422798	-0.071807464	0.091353107	-0.012489278	-0.020188509	0.019694454
71	-0.090122114	0.156038117	0.184285429	-0.0290162	0.115602805	-0.122422798	-0.071807464	0.091353107	-0.012489278	-0.020188509	0.019694454
67	-0.090122114	0.156038117	0.184285429	-0.0290162	0.115602805	-0.122422798	-0.071807464	0.091353107	-0.012489278	-0.020188509	0.019694454
66	-0.090122114	0.156038117	0.184285429	-0.0290162	0.115602805	-0.122422798	-0.071807464	0.091353107	-0.012489278	-0.020188509	0.019694454
65	-0.090122114	0.156038117	0.184285429	-0.0290162	0.115602805	-0.122422798	-0.071807464	0.091353107	-0.012489278	-0.020188509	0.019694454
86	0.132439718	0.037496745	-0.039111326	-0.10864296	-0.106629863	-0.142839787	-0.014966242	-0.137685866	0.03150103	-0.032680239	0.076083458
90	0.132439718	0.037496745	-0.039111326	-0.10864296	-0.106629863	-0.142839787	-0.014966242	-0.137685866	0.03150103	-0.032680239	0.076083458
92	0.132439718	0.037496745	-0.039111326	-0.10864296	-0.106629863	-0.142839787	-0.014966242	-0.137685866	0.03150103	-0.032680239	0.076083458
93	0.132439718	0.037496745	-0.039111326	-0.10864296	-0.106629863	-0.142839787	-0.014966242	-0.137685866	0.03150103	-0.032680239	0.076083458
96	0.132439718	0.037496745	-0.039111326	-0.10864296	-0.106629863	-0.142839787	-0.014966242	-0.137685866	0.03150103	-0.032680239	0.076083458
95	0.175117724	0.186747991	0.046360822	-0.009232046	-0.179433535	0.085379937	-0.007424324	0.089917858	-0.035668955	0.02831306	-0.049671025
87	0.175117724	0.186747991	0.046360822	-0.009232046	-0.179433535	0.085379937	-0.007424324	0.089917858	-0.035668955	0.02831306	-0.049671025
88	0.175117724	0.186747991	0.046360822	-0.009232046	-0.179433535	0.085379937	-0.007424324	0.089917858	-0.035668955	0.02831306	-0.049671025
89	0.175117724	0.186747991	0.046360822	-0.009232046	-0.179433535	0.085379937	-0.007424324	0.089917858	-0.035668955	0.02831306	-0.049671025
